authority_id,jurisdiction_id,official_name,authority_level,role,official_url,verification_status,retrieved_at,notes
authority:ca-nu-nwmb,jurisdiction:ca-nu,Nunavut Wildlife Management Board,CO_MANAGEMENT,CO_MANAGEMENT,https://www.nwmb.com/,SOURCE_FOUND,2026-09-20,Do not merge beneficiary harvest rules with ordinary recreational licensing
authority:ca-on-mnr,jurisdiction:ca-on,Ontario Ministry of Natural Resources,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.ontario.ca/page/hunting,SOURCE_FOUND,2026-09-20,
authority:ca-pe-ffw,jurisdiction:ca-pe,Prince Edward Island Forests Fish and Wildlife Division,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING,https://www.princeedwardisland.ca/en/topic/hunting-angling-and-trapping,SOURCE_FOUND,2026-09-20,
authority:ca-qc-mffp,jurisdiction:ca-qc,Québec Ministère de l'Environnement de la Lutte contre les changements climatiques de la Faune et des Parcs,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.quebec.ca/en/tourism-and-recreation/sporting-and-outdoor-activities/sport-hunting,SOURCE_FOUND,2026-09-20,Common abbreviation MELCCFP; preserve official French name
authority:ca-sk-env,jurisdiction:ca-sk,Saskatchewan Ministry of Environment,PROVINCIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.saskatchewan.ca/residents/parks-culture-heritage-and-sport/hunting-trapping-and-angling/hunting,SOURCE_FOUND,2026-09-20,
authority:ca-yt-env,jurisdiction:ca-yt,Yukon Department of Environment,TERRITORIAL,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://yukon.ca/en/hunting-regulations,SOURCE_FOUND,2026-09-20,Renewable resources councils and First Nations have distinct roles
authority:us-fws,jurisdiction:us-federal,U.S. Fish and Wildlife Service,FEDERAL,MIGRATORY_BIRDS|FEDERAL_LANDS|WILDLIFE_REGULATOR,https://www.fws.gov/program/migratory-bird-hunting-and-conservation-stamp,SOURCE_FOUND,2026-09-20,
authority:us-al-dcnr,jurisdiction:us-al,Alabama Department of Conservation and Natural Resources Division of Wildlife and Freshwater Fisheries,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.outdooralabama.com/hunting,DISCOVERED,2026-09-20,
authority:us-ak-adfg,jurisdiction:us-ak,Alaska Department of Fish and Game Division of Wildlife Conservation,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.main,DISCOVERED,2026-09-20,
authority:us-az-gfd,jurisdiction:us-az,Arizona Game and Fish Department,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.azgfd.com/hunting/,DISCOVERED,2026-09-20,
authority:us-ar-agfc,jurisdiction:us-ar,Arkansas Game and Fish Commission,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.agfc.com/hunting/,DISCOVERED,2026-09-20,
authority:us-ca-cdfw,jurisdiction:us-ca,California Department of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://wildlife.ca.gov/Hunting,DISCOVERED,2026-09-20,
authority:us-co-cpw,jurisdiction:us-co,Colorado Parks and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://cpw.state.co.us/hunting,DISCOVERED,2026-09-20,
authority:us-ct-deep,jurisdiction:us-ct,Connecticut Department of Energy and Environmental Protection Wildlife Division,STATE,WILDLIFE_REGULATOR|LICENSING,https://portal.ct.gov/deep/hunting/hunting-and-trapping,DISCOVERED,2026-09-20,
authority:us-de-dnrec,jurisdiction:us-de,Delaware Department of Natural Resources and Environmental Control Division of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://dnrec.delaware.gov/fish-wildlife/hunting/,DISCOVERED,2026-09-20,
authority:us-dc-doee,jurisdiction:us-dc,District of Columbia Department of Energy and Environment,DISTRICT,WILDLIFE_REGULATOR,https://doee.dc.gov/service/fisheries-and-wildlife,DISCOVERED,2026-09-20,Ordinary recreational hunting relevance needs review
authority:us-fl-fwc,jurisdiction:us-fl,Florida Fish and Wildlife Conservation Commission,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://myfwc.com/hunting/,DISCOVERED,2026-09-20,
authority:us-ga-dnr,jurisdiction:us-ga,Georgia Department of Natural Resources Wildlife Resources Division,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://georgiawildlife.com/hunting,DISCOVERED,2026-09-20,
authority:us-hi-dofaw,jurisdiction:us-hi,Hawaii Division of Forestry and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://dlnr.hawaii.gov/recreation/hunting/,DISCOVERED,2026-09-20,
authority:us-id-fg,jurisdiction:us-id,Idaho Department of Fish and Game,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://idfg.idaho.gov/hunt,DISCOVERED,2026-09-20,
authority:us-il-dnr,jurisdiction:us-il,Illinois Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING,https://dnr.illinois.gov/hunting.html,DISCOVERED,2026-09-20,
authority:us-in-dnr,jurisdiction:us-in,Indiana Department of Natural Resources Division of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/,DISCOVERED,2026-09-20,
authority:us-ia-dnr,jurisdiction:us-ia,Iowa Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.iowadnr.gov/things-to-do/hunting-trapping,DISCOVERED,2026-09-20,
authority:us-ks-kdwp,jurisdiction:us-ks,Kansas Department of Wildlife and Parks,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://ksoutdoors.com/Hunting,DISCOVERED,2026-09-20,
authority:us-ky-dfw,jurisdiction:us-ky,Kentucky Department of Fish and Wildlife Resources,STATE,WILDLIFE_REGULATOR|LICENSING,https://fw.ky.gov/Hunt/Pages/default.aspx,DISCOVERED,2026-09-20,
authority:us-la-wlf,jurisdiction:us-la,Louisiana Department of Wildlife and Fisheries,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.wlf.louisiana.gov/page/hunting,DISCOVERED,2026-09-20,
authority:us-me-ifw,jurisdiction:us-me,Maine Department of Inland Fisheries and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.maine.gov/ifw/hunting-trapping/index.html,DISCOVERED,2026-09-20,
authority:us-md-dnr,jurisdiction:us-md,Maryland Department of Natural Resources Wildlife and Heritage Service,STATE,WILDLIFE_REGULATOR|LICENSING,https://dnr.maryland.gov/wildlife/Pages/hunt_trap/home.aspx,DISCOVERED,2026-09-20,
authority:us-ma-masswildlife,jurisdiction:us-ma,Massachusetts Division of Fisheries and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.mass.gov/hunting-regulations,DISCOVERED,2026-09-20,
authority:us-mi-dnr,jurisdiction:us-mi,Michigan Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.michigan.gov/dnr/things-to-do/hunting,DISCOVERED,2026-09-20,
authority:us-mn-dnr,jurisdiction:us-mn,Minnesota Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.dnr.state.mn.us/hunting/index.html,DISCOVERED,2026-09-20,
authority:us-ms-mdwfp,jurisdiction:us-ms,Mississippi Department of Wildlife Fisheries and Parks,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.mdwfp.com/wildlife-hunting,DISCOVERED,2026-09-20,
authority:us-mo-mdc,jurisdiction:us-mo,Missouri Department of Conservation,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://mdc.mo.gov/hunting-trapping,DISCOVERED,2026-09-20,
authority:us-mt-fwp,jurisdiction:us-mt,Montana Fish Wildlife and Parks,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://fwp.mt.gov/hunt,DISCOVERED,2026-09-20,
authority:us-ne-ngpc,jurisdiction:us-ne,Nebraska Game and Parks Commission,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://outdoornebraska.gov/hunt/,DISCOVERED,2026-09-20,
authority:us-nv-ndow,jurisdiction:us-nv,Nevada Department of Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.ndow.org/get-outside/hunting/,DISCOVERED,2026-09-20,
authority:us-nh-fg,jurisdiction:us-nh,New Hampshire Fish and Game Department,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.wildlife.nh.gov/hunting-nh,DISCOVERED,2026-09-20,
authority:us-nj-fws,jurisdiction:us-nj,New Jersey Division of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://dep.nj.gov/njfw/hunting/,DISCOVERED,2026-09-20,
authority:us-nm-dgf,jurisdiction:us-nm,New Mexico Department of Game and Fish,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.wildlife.state.nm.us/hunting/,DISCOVERED,2026-09-20,
authority:us-ny-dec,jurisdiction:us-ny,New York State Department of Environmental Conservation,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://dec.ny.gov/things-to-do/hunting,DISCOVERED,2026-09-20,
authority:us-nc-wrc,jurisdiction:us-nc,North Carolina Wildlife Resources Commission,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.ncwildlife.gov/hunting,DISCOVERED,2026-09-20,
authority:us-nd-gf,jurisdiction:us-nd,North Dakota Game and Fish Department,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://gf.nd.gov/hunting,DISCOVERED,2026-09-20,
authority:us-oh-dow,jurisdiction:us-oh,Ohio Department of Natural Resources Division of Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://ohiodnr.gov/discover-and-learn/safety-conservation/wildlife-management/hunting,DISCOVERED,2026-09-20,
authority:us-ok-wd,jurisdiction:us-ok,Oklahoma Department of Wildlife Conservation,STATE,WILDLIFE_REGULATOR|LICENSING,https://www.wildlifedepartment.com/hunting,DISCOVERED,2026-09-20,
authority:us-or-odfw,jurisdiction:us-or,Oregon Department of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://myodfw.com/hunting,DISCOVERED,2026-09-20,
authority:us-pa-pgc,jurisdiction:us-pa,Pennsylvania Game Commission,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.pa.gov/agencies/pgc/huntingandtrapping.html,DISCOVERED,2026-09-20,
authority:us-ri-dem,jurisdiction:us-ri,Rhode Island Department of Environmental Management Division of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING,https://dem.ri.gov/natural-resources-bureau/fish-wildlife/hunting-trapping,DISCOVERED,2026-09-20,
authority:us-sc-dnr,jurisdiction:us-sc,South Carolina Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.dnr.sc.gov/hunting.html,DISCOVERED,2026-09-20,
authority:us-sd-gfp,jurisdiction:us-sd,South Dakota Game Fish and Parks,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://gfp.sd.gov/hunt/,DISCOVERED,2026-09-20,
authority:us-tn-twra,jurisdiction:us-tn,Tennessee Wildlife Resources Agency,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.tn.gov/twra/hunting.html,DISCOVERED,2026-09-20,
authority:us-tx-tpwd,jurisdiction:us-tx,Texas Parks and Wildlife Department,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://tpwd.texas.gov/regulations/outdoor-annual/hunting/,DISCOVERED,2026-09-20,
authority:us-ut-dwr,jurisdiction:us-ut,Utah Division of Wildlife Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://wildlife.utah.gov/hunting.html,DISCOVERED,2026-09-20,
authority:us-vt-fw,jurisdiction:us-vt,Vermont Fish and Wildlife Department,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://www.vtfishandwildlife.com/hunt,DISCOVERED,2026-09-20,
authority:us-va-dwr,jurisdiction:us-va,Virginia Department of Wildlife Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://dwr.virginia.gov/hunting/,DISCOVERED,2026-09-20,
authority:us-wa-wdfw,jurisdiction:us-wa,Washington Department of Fish and Wildlife,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://wdfw.wa.gov/hunting,DISCOVERED,2026-09-20,
authority:us-wv-dnr,jurisdiction:us-wv,West Virginia Division of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING,https://wvdnr.gov/hunting/,DISCOVERED,2026-09-20,
authority:us-wi-dnr,jurisdiction:us-wi,Wisconsin Department of Natural Resources,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://dnr.wisconsin.gov/topic/hunt,DISCOVERED,2026-09-20,
authority:us-wy-wgfd,jurisdiction:us-wy,Wyoming Game and Fish Department,STATE,WILDLIFE_REGULATOR|LICENSING|GIS_PUBLISHER,https://wgfd.wyo.gov/hunting,DISCOVERED,2026-09-20,
