mapping_id,jurisdiction_id,official_term,normalized_group_id,included_species_ids,membership_status,authority_id,source_id,effective_period,verification_status,notes
mapping:us-in-game,jurisdiction:us-in,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-in-dnr,source:us-in-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ia-game,jurisdiction:us-ia,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ia-dnr,source:us-ia-hunting,2025-2026,NEEDS_REVIEW,
mapping:us-ks-game,jurisdiction:us-ks,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ks-kdwp,source:us-ks-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ky-game,jurisdiction:us-ky,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ky-dfw,source:us-ky-hunting,current_hub,NEEDS_REVIEW,
mapping:us-la-game,jurisdiction:us-la,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-la-wlf,source:us-la-hunting,current_hub,NEEDS_REVIEW,
mapping:us-me-big-game,jurisdiction:us-me,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-me-ifw,source:us-me-hunting,current_hub,NEEDS_REVIEW,
mapping:us-md-game,jurisdiction:us-md,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-md-dnr,source:us-md-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ma-game,jurisdiction:us-ma,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ma-masswildlife,source:us-ma-hunting,current_hub,NEEDS_REVIEW,
mapping:us-mi-game,jurisdiction:us-mi,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-mi-dnr,source:us-mi-hunting,current_hub,NEEDS_REVIEW,
mapping:us-mn-game,jurisdiction:us-mn,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-mn-dnr,source:us-mn-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ms-game,jurisdiction:us-ms,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ms-mdwfp,source:us-ms-hunting,current_hub,NEEDS_REVIEW,
mapping:us-mo-game,jurisdiction:us-mo,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-mo-mdc,source:us-mo-hunting,current_hub,NEEDS_REVIEW,
mapping:us-mt-game,jurisdiction:us-mt,Game,species_group:ungulates|species_group:bears|species_group:upland-game-birds,,UNRESOLVED,authority:us-mt-fwp,source:us-mt-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ne-game,jurisdiction:us-ne,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ne-ngpc,source:us-ne-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nv-big-game,jurisdiction:us-nv,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-nv-ndow,source:us-nv-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nh-game,jurisdiction:us-nh,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-nh-fg,source:us-nh-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nj-game,jurisdiction:us-nj,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-nj-fws,source:us-nj-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nm-big-game,jurisdiction:us-nm,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-nm-dgf,source:us-nm-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ny-game,jurisdiction:us-ny,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ny-dec,source:us-ny-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nc-game,jurisdiction:us-nc,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-nc-wrc,source:us-nc-hunting,current_hub,NEEDS_REVIEW,
mapping:us-nd-game,jurisdiction:us-nd,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-nd-gf,source:us-nd-hunting,current_hub,NEEDS_REVIEW,
mapping:us-oh-game,jurisdiction:us-oh,Game quadrupeds and game birds,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-oh-dow,source:us-oh-hunting,current_consolidation,NEEDS_REVIEW,Code definitions require exact extraction
mapping:us-ok-game,jurisdiction:us-ok,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ok-wd,source:us-ok-hunting,current_hub,NEEDS_REVIEW,
mapping:us-or-game,jurisdiction:us-or,Game mammals and game birds,species_group:ungulates|species_group:bears|species_group:upland-game-birds,,UNRESOLVED,authority:us-or-odfw,source:us-or-hunting,2026,NEEDS_REVIEW,
mapping:us-pa-game,jurisdiction:us-pa,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-pa-pgc,source:us-pa-hunting,current_hub,NEEDS_REVIEW,
mapping:us-ri-game,jurisdiction:us-ri,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-ri-dem,source:us-ri-hunting,current_hub,NEEDS_REVIEW,
mapping:us-sc-game,jurisdiction:us-sc,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-sc-dnr,source:us-sc-hunting,current_hub,NEEDS_REVIEW,
mapping:us-sd-game,jurisdiction:us-sd,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-sd-gfp,source:us-sd-hunting,current_hub,NEEDS_REVIEW,
mapping:us-tn-game,jurisdiction:us-tn,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-tn-twra,source:us-tn-hunting,current_hub,NEEDS_REVIEW,
mapping:us-tx-game,jurisdiction:us-tx,Game animals and game birds,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-tx-tpwd,source:us-tx-hunting,current_hub,NEEDS_REVIEW,County rules vary
mapping:us-ut-big-game,jurisdiction:us-ut,Big game,species_group:ungulates|species_group:bears,,UNRESOLVED,authority:us-ut-dwr,source:us-ut-hunting,2026,NEEDS_REVIEW,
mapping:us-vt-game,jurisdiction:us-vt,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-vt-fw,source:us-vt-hunting,current_hub,NEEDS_REVIEW,
mapping:us-va-game,jurisdiction:us-va,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-va-dwr,source:us-va-hunting,current_hub,NEEDS_REVIEW,
mapping:us-wa-game,jurisdiction:us-wa,Game,species_group:ungulates|species_group:bears|species_group:upland-game-birds,,UNRESOLVED,authority:us-wa-wdfw,source:us-wa-hunting,current_hub,NEEDS_REVIEW,
mapping:us-wv-game,jurisdiction:us-wv,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-wv-dnr,source:us-wv-hunting,current_hub,NEEDS_REVIEW,
mapping:us-wi-game,jurisdiction:us-wi,Game,species_group:ungulates|species_group:small-game|species_group:upland-game-birds,,UNRESOLVED,authority:us-wi-dnr,source:us-wi-hunting,current_hub,NEEDS_REVIEW,
mapping:us-wy-game,jurisdiction:us-wy,Game,species_group:ungulates|species_group:bears|species_group:upland-game-birds,,UNRESOLVED,authority:us-wy-wgfd,source:us-wy-hunting,current_hub,NEEDS_REVIEW,
