evidence_id,species_id,country_code,jurisdiction_id,relationship_status,regulatory_classification,authority_id,official_species_name,official_group_name,source_id,effective_period,retrieved_at,evidence_note,verification_status,notes
evidence:ca-bc-mule-deer,species:mule-deer,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-bc-wlrs,Mule Deer,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis names species and MU-specific seasons,STALE,Current 2026-28 synopsis required
evidence:ca-bc-moose,species:moose,CA,jurisdiction:ca-bc,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-bc-wlrs,Moose,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis includes general and limited-entry contexts,STALE,Current 2026-28 synopsis required
evidence:ca-bc-elk,species:elk,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-bc-wlrs,Elk,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis includes elk seasons and detailed zone maps,STALE,Current 2026-28 synopsis required
evidence:ca-bc-black-bear,species:american-black-bear,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-bc-wlrs,Black Bear,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis includes black bear seasons and closures,STALE,Current 2026-28 synopsis required
evidence:ca-bc-bighorn,species:bighorn-sheep,CA,jurisdiction:ca-bc,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-bc-wlrs,Mountain Sheep,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis includes species/MU-specific sheep rules,STALE,Species/subspecies extraction required
evidence:ca-bc-mountain-goat,species:mountain-goat,CA,jurisdiction:ca-bc,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-bc-wlrs,Mountain Goat,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis includes open and closed goat areas,STALE,Current boundaries required
evidence:ca-mb-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-mb-nrif,White-tailed Deer,Big game,source:ca-mb-hunting-2026,2026,2026-09-20,Current official guide includes deer seasons by hunting area,SOURCE_FOUND,Claim-level extraction queued
evidence:ca-mb-moose,species:moose,CA,jurisdiction:ca-mb,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-mb-nrif,Moose,Big game,source:ca-mb-hunting-2026,2026,2026-09-20,Current official guide includes moose season/licence tables,SOURCE_FOUND,Claim-level extraction queued
evidence:ca-mb-elk,species:elk,CA,jurisdiction:ca-mb,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-mb-nrif,Elk,Big game,source:ca-mb-hunting-2026,2026,2026-09-20,Current official guide and big game draws include elk,SOURCE_FOUND,Claim-level extraction queued
evidence:ca-mb-black-bear,species:american-black-bear,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-mb-nrif,Black Bear,Big game,source:ca-mb-hunting-2026,2026,2026-09-20,Current official guide includes black bear zones and seasons,SOURCE_FOUND,
evidence:ca-mb-wild-turkey,species:wild-turkey,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-mb-nrif,Wild Turkey,Game bird,source:ca-mb-hunting-2026,2026,2026-09-20,Current official guide includes wild turkey,SOURCE_FOUND,
evidence:ca-nb-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-nb,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-nb-nred,White-tailed Deer,Big game,source:ca-nb-elicensing,2026,2026-09-20,Current licensing page offers deer and game bird licences and antlerless draw,SOURCE_FOUND,Current regulation table still needed
evidence:ca-nb-moose,species:moose,CA,jurisdiction:ca-nb,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-nb-nred,Moose,Big game,source:ca-nb-elicensing,2026,2026-09-20,Current licensing page documents resident and non-resident draw/outfitter licences,SOURCE_FOUND,Current regulation table still needed
evidence:ca-nb-wild-turkey,species:wild-turkey,CA,jurisdiction:ca-nb,PARTIAL_OR_SPECIAL,GAME_BIRD,authority:ca-nb-nred,Turkey,Game bird,source:ca-nb-elicensing,2026,2026-09-20,Current licensing page lists turkey licences,SOURCE_FOUND,Season and geographic scope require current regulations
evidence:ca-nl-moose,species:moose,CA,jurisdiction:ca-nl,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-nl-fal,Moose,Big game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official guide provides quotas seasons and Moose Management Areas,SOURCE_FOUND,
evidence:ca-nl-caribou,species:caribou,CA,jurisdiction:ca-nl,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-nl-fal,Caribou,Big game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official guide provides island caribou quotas and management areas,SOURCE_FOUND,Labrador population/rights distinctions require separate records
evidence:ca-nl-black-bear,species:american-black-bear,CA,jurisdiction:ca-nl,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-nl-fal,Black Bear,Big game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official guide provides spring/fall seasons and management zones,SOURCE_FOUND,
evidence:ca-nl-willow-ptarmigan,species:willow-ptarmigan,CA,jurisdiction:ca-nl,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nl-fal,Willow Ptarmigan,Small game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official guide provides shooting/snaring seasons and combined limits,SOURCE_FOUND,Combined willow/rock limits in some areas
evidence:ca-nl-rock-ptarmigan,species:rock-ptarmigan,CA,jurisdiction:ca-nl,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nl-fal,Rock Ptarmigan,Small game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official guide provides shooting/snaring seasons and combined limits,SOURCE_FOUND,Combined willow/rock limits in some areas
evidence:ca-nt-caribou,species:caribou,CA,jurisdiction:ca-nt,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-nt-ecc,Caribou,Big game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official guide is the territorial regulation summary,NEEDS_REVIEW,Population co-management residency and rights distinctions require extraction
evidence:ca-nt-moose,species:moose,CA,jurisdiction:ca-nt,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-nt-ecc,Moose,Big game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official guide is the territorial regulation summary,NEEDS_REVIEW,Unit and hunter-class extraction required
evidence:ca-nt-dall-sheep,species:dall-sheep,CA,jurisdiction:ca-nt,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-nt-ecc,Dall's Sheep,Big game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official guide is the territorial regulation summary,NEEDS_REVIEW,Management-area and hunter-class extraction required
evidence:ca-ns-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-ns,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ns-nr,Deer,Big game,source:ca-ns-summary,current_hub,2026-09-20,Official summary links deer rules and current amendments,SOURCE_FOUND,Current season table extraction required
evidence:ca-ns-black-bear,species:american-black-bear,CA,jurisdiction:ca-ns,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ns-nr,Bear,Big game,source:ca-ns-summary,current_hub,2026-09-20,Official summary contains bear hunting notices and rules,SOURCE_FOUND,
evidence:ca-ns-moose,species:moose,CA,jurisdiction:ca-ns,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-ns-nr,Moose,Big game,source:ca-ns-summary,current_hub,2026-09-20,Official summary references Cape Breton Moose Management Zones,SOURCE_FOUND,Licence draw and zone restrictions apply
evidence:ca-nu-caribou,species:caribou,CA,jurisdiction:ca-nu,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-nu-env,Caribou,Big game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official guide covers species seasons limits and hunting areas,NEEDS_REVIEW,Beneficiary/non-beneficiary and population distinctions are essential
evidence:ca-nu-muskox,species:muskox,CA,jurisdiction:ca-nu,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-nu-env,Muskox,Big game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official guide covers species seasons limits and hunting areas,NEEDS_REVIEW,Co-management and tags/quotas require extraction
evidence:ca-nu-polar-bear,species:polar-bear,CA,jurisdiction:ca-nu,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-nu-env,Polar Bear,Big game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official guide covers hunting regulation context,NEEDS_REVIEW,Do not present as ordinary recreational hunting; community quota and rights frameworks
evidence:ca-on-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-on-mnr,White-tailed Deer,Big game,source:ca-on-summary-2026,2026-2027,2026-09-20,Official summary provides WMU-specific deer seasons,SOURCE_FOUND,
evidence:ca-on-moose,species:moose,CA,jurisdiction:ca-on,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-on-mnr,Moose,Big game,source:ca-on-summary-2026,2026-2027,2026-09-20,Official summary provides WMU seasons and tag allocation rules,SOURCE_FOUND,
evidence:ca-on-elk,species:elk,CA,jurisdiction:ca-on,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-on-mnr,Elk,Big game,source:ca-on-summary-2026,2026-2027,2026-09-20,Official summary provides elk harvest areas and tag rules,SOURCE_FOUND,
evidence:ca-on-black-bear,species:american-black-bear,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-on-mnr,Black Bear,Big game,source:ca-on-summary-2026,2026-2027,2026-09-20,Official summary provides WMU-specific black bear seasons,SOURCE_FOUND,
evidence:ca-on-wild-turkey,species:wild-turkey,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-on-mnr,Wild Turkey,Game bird,source:ca-on-summary-2026,2026-2027,2026-09-20,Official summary provides spring/fall turkey rules and tags,SOURCE_FOUND,
evidence:ca-on-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-on-mnr,Ruffed Grouse,Small game,source:ca-on-summary-2026,2026-2027,2026-09-20,Official small-game section provides WMU season table,SOURCE_FOUND,
evidence:ca-pe-ring-necked-pheasant,species:ring-necked-pheasant,CA,jurisdiction:ca-pe,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-pe-ffw,Pheasant,Game bird,source:ca-pe-summary-2026,2026,2026-09-20,Current official hunting summary is the season source,NEEDS_REVIEW,Extract exact season and sex restrictions
evidence:ca-pe-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-pe,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-pe-ffw,Ruffed Grouse,Game bird,source:ca-pe-summary-2026,2026,2026-09-20,Current official hunting summary is the season source,NEEDS_REVIEW,
evidence:ca-qc-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-qc-mffp,White-tailed deer / Cerf de Virginie,Big game,source:ca-qc-seasons-2026,2026,2026-09-20,Official seasons service returns zone/method-specific periods,SOURCE_FOUND,Interactive result must be captured with filters
evidence:ca-qc-moose,species:moose,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-qc-mffp,Moose / Orignal,Big game,source:ca-qc-seasons-2026,2026,2026-09-20,Official seasons service returns zone/method-specific periods,SOURCE_FOUND,Interactive result must be captured with filters
evidence:ca-qc-black-bear,species:american-black-bear,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-qc-mffp,Black bear / Ours noir,Big game,source:ca-qc-seasons-2026,2026,2026-09-20,Official seasons service returns zone/method-specific periods,SOURCE_FOUND,
evidence:ca-qc-wild-turkey,species:wild-turkey,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-qc-mffp,Wild turkey / Dindon sauvage,Game bird,source:ca-qc-seasons-2026,2026,2026-09-20,Official seasons service returns zone/method-specific periods,SOURCE_FOUND,
evidence:ca-qc-sandhill-crane,species:sandhill-crane,CA,jurisdiction:ca-qc,PARTIAL_OR_SPECIAL,MIGRATORY_GAME_BIRD,authority:ca-eccc,Sandhill Crane / Grue du Canada,Migratory game bird,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal 2026 amendments create a season only in specified Quebec districts and farmland contexts,SOURCE_FOUND,Federal plus provincial requirements
evidence:ca-sk-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-sk,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-sk-env,White-tailed Deer,Big game,source:ca-sk-hunting,current_hub,2026-09-20,Official hub publishes annual Hunters and Trappers Guide,NEEDS_REVIEW,Extract current guide table
evidence:ca-sk-mule-deer,species:mule-deer,CA,jurisdiction:ca-sk,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-sk-env,Mule Deer,Big game,source:ca-sk-hunting,current_hub,2026-09-20,Official current draw material lists WMZ-specific mule deer quotas,SOURCE_FOUND,
evidence:ca-sk-moose,species:moose,CA,jurisdiction:ca-sk,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-sk-env,Moose,Big game,source:ca-sk-hunting,current_hub,2026-09-20,Official hub publishes annual species/WMZ rules,NEEDS_REVIEW,
evidence:ca-sk-elk,species:elk,CA,jurisdiction:ca-sk,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-sk-env,Elk,Big game,source:ca-sk-hunting,current_hub,2026-09-20,Official hub publishes annual species/WMZ rules,NEEDS_REVIEW,
evidence:ca-sk-pronghorn,species:pronghorn,CA,jurisdiction:ca-sk,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-sk-env,Pronghorn,Big game,source:ca-sk-hunting,current_hub,2026-09-20,Official hub publishes annual draw rules when a season is offered,NEEDS_REVIEW,Do not infer a current season without guide extraction
evidence:ca-yt-moose,species:moose,CA,jurisdiction:ca-yt,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-yt-env,Moose,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official page states each GMS has open species dates and limits and links current summary,SOURCE_FOUND,Subzone extraction required
evidence:ca-yt-caribou,species:caribou,CA,jurisdiction:ca-yt,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-yt-env,Caribou,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official summary and permit process include caribou,SOURCE_FOUND,Herd subzone and rights distinctions required
evidence:ca-yt-elk,species:elk,CA,jurisdiction:ca-yt,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-yt-env,Elk,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official permit hunt authorization material includes elk,SOURCE_FOUND,
evidence:ca-yt-dall-sheep,species:dall-sheep,CA,jurisdiction:ca-yt,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-yt-env,Sheep,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official current changes document subzone sheep closure and permit context,SOURCE_FOUND,Species identity/subspecies and GMS scope require extraction
evidence:ca-yt-mountain-goat,species:mountain-goat,CA,jurisdiction:ca-yt,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-yt-env,Goat,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official permit hunt authorization material includes goat,SOURCE_FOUND,
evidence:ca-yt-brown-bear,species:brown-bear,CA,jurisdiction:ca-yt,PARTIAL_OR_SPECIAL,BIG_GAME,authority:ca-yt-env,Grizzly Bear,Big game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official current summary is the rule source,NEEDS_REVIEW,Subzone season and closure extraction required
evidence:us-fed-mourning-dove,species:mourning-dove,US,jurisdiction:us-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:us-fws,Mourning Dove,Migratory game birds,source:us-fws-migratory,current_framework,2026-09-20,FWS authorizes states and tribes to establish seasons within federal limits,SOURCE_FOUND,State/tribal season required
evidence:us-fed-american-woodcock,species:american-woodcock,US,jurisdiction:us-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:us-fws,American Woodcock,Migratory game birds,source:us-fws-migratory,current_framework,2026-09-20,FWS framework includes population status and annual authorization conditions,SOURCE_FOUND,State season required
evidence:us-fed-coot,species:american-coot,US,jurisdiction:us-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:us-fws,American Coot,Migratory game birds,source:us-fws-migratory,current_framework,2026-09-20,Federal limits constrain state/tribal seasons,SOURCE_FOUND,State season required
evidence:us-fed-tundra-swan,species:tundra-swan,US,jurisdiction:us-federal,PERMIT_OR_QUOTA,MIGRATORY_GAME_BIRD,authority:us-fws,Tundra Swan,Migratory game birds,source:us-fws-migratory,current_framework,2026-09-20,Federal framework permits seasons only under specified state authorization conditions,NEEDS_REVIEW,Selected states and permits only
evidence:us-al-whitetail,species:white-tailed-deer,US,jurisdiction:us-al,DOCUMENTED_HUNTING,BIG_GAME,authority:us-al-dcnr,White-tailed Deer,Game animal,source:us-al-hunting,current_hub,2026-09-20,Official state hunting hub is the authority rail for deer seasons and zones,NEEDS_REVIEW,Capture current regulation section before production
evidence:us-ak-caribou,species:caribou,US,jurisdiction:us-ak,PARTIAL_OR_SPECIAL,BIG_GAME,authority:us-ak-adfg,Caribou,Big game,source:us-ak-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit-specific caribou regulations and emergency orders,NEEDS_REVIEW,Federal subsistence and herd/unit distinctions overlap
evidence:us-az-mule-deer,species:mule-deer,US,jurisdiction:us-az,PERMIT_OR_QUOTA,BIG_GAME,authority:us-az-gfd,Mule Deer,Big game,source:us-az-hunting,current_hub,2026-09-20,Official state hunting hub publishes draw and GMU rules,NEEDS_REVIEW,
evidence:us-ar-whitetail,species:white-tailed-deer,US,jurisdiction:us-ar,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ar-agfc,White-tailed Deer,Big game,source:us-ar-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer zone regulations,NEEDS_REVIEW,
evidence:us-ca-mule-deer,species:mule-deer,US,jurisdiction:us-ca,PARTIAL_OR_SPECIAL,BIG_GAME,authority:us-ca-cdfw,Deer,Big game,source:us-ca-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer zone and tag rules,NEEDS_REVIEW,Regulatory deer categories may include subspecies/forms
evidence:us-co-elk,species:elk,US,jurisdiction:us-co,PERMIT_OR_QUOTA,BIG_GAME,authority:us-co-cpw,Elk,Big game,source:us-co-hunting,current_hub,2026-09-20,Official state hunting hub publishes GMU and licence rules,NEEDS_REVIEW,
evidence:us-ct-whitetail,species:white-tailed-deer,US,jurisdiction:us-ct,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ct-deep,White-tailed Deer,Game animal,source:us-ct-hunting,2026,2026-09-20,Official publications page links the current hunting guide,SOURCE_FOUND,Extract zone/method tables before production
evidence:us-de-whitetail,species:white-tailed-deer,US,jurisdiction:us-de,DOCUMENTED_HUNTING,BIG_GAME,authority:us-de-dnrec,White-tailed Deer,Game animal,source:us-de-hunting,current_hub,2026-09-20,Official state hunting hub is the regulatory source rail,NEEDS_REVIEW,
evidence:us-fl-whitetail,species:white-tailed-deer,US,jurisdiction:us-fl,DOCUMENTED_HUNTING,BIG_GAME,authority:us-fl-fwc,White-tailed Deer,Game mammal,source:us-fl-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone seasons,NEEDS_REVIEW,
evidence:us-ga-whitetail,species:white-tailed-deer,US,jurisdiction:us-ga,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ga-dnr,Deer,Game animal,source:us-ga-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer regulations,NEEDS_REVIEW,
evidence:us-hi-axis-deer,species:axis-deer,US,jurisdiction:us-hi,PARTIAL_OR_SPECIAL,EXOTIC_GAME_MAMMAL,authority:us-hi-dofaw,Axis Deer,Game mammal,source:us-hi-hunting,current_hub,2026-09-20,Official state hunting program regulates island/public-area opportunities,NEEDS_REVIEW,Island land status and area rules are essential
evidence:us-id-elk,species:elk,US,jurisdiction:us-id,DOCUMENTED_HUNTING,BIG_GAME,authority:us-id-fg,Elk,Big game,source:us-id-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit/tag regulations,NEEDS_REVIEW,
evidence:us-il-whitetail,species:white-tailed-deer,US,jurisdiction:us-il,DOCUMENTED_HUNTING,BIG_GAME,authority:us-il-dnr,White-tailed Deer,Game animal,source:us-il-hunting,current_hub,2026-09-20,Official state hunting page publishes deer seasons and permits,NEEDS_REVIEW,
evidence:us-in-whitetail,species:white-tailed-deer,US,jurisdiction:us-in,DOCUMENTED_HUNTING,BIG_GAME,authority:us-in-dnr,Deer,Game animal,source:us-in-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer seasons,NEEDS_REVIEW,
evidence:us-ia-whitetail,species:white-tailed-deer,US,jurisdiction:us-ia,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ia-dnr,Deer,Game animal,source:us-ia-hunting,2026-2027,2026-09-20,Official page links 2026-27 regulations and season cards,SOURCE_FOUND,
evidence:us-ks-whitetail,species:white-tailed-deer,US,jurisdiction:us-ks,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ks-kdwp,White-tailed Deer,Big game,source:us-ks-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer management-unit rules,NEEDS_REVIEW,
evidence:us-ky-whitetail,species:white-tailed-deer,US,jurisdiction:us-ky,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ky-dfw,Deer,Game animal,source:us-ky-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone rules,NEEDS_REVIEW,
evidence:us-la-whitetail,species:white-tailed-deer,US,jurisdiction:us-la,DOCUMENTED_HUNTING,BIG_GAME,authority:us-la-wlf,Deer,Game animal,source:us-la-hunting,current_hub,2026-09-20,Official state hunting hub publishes area rules,NEEDS_REVIEW,
evidence:us-me-moose,species:moose,US,jurisdiction:us-me,PERMIT_OR_QUOTA,BIG_GAME,authority:us-me-ifw,Moose,Big game,source:us-me-hunting,current_hub,2026-09-20,Official state hunting hub publishes permit and Wildlife Management District rules,NEEDS_REVIEW,
