coverage_id,jurisdiction_id,core_source_id,regulations_status,season_status,species_classification_status,licensing_status,management_unit_status,gis_availability,emergency_updates_status,migratory_overlap_status,reviewed_at,notes
coverage:us-ct,jurisdiction:us-ct,source:us-ct-hunting,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-de,jurisdiction:us-de,source:us-de-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-dc,jurisdiction:us-dc,source:us-dc-wildlife,NEEDS_REVIEW,NOT_APPLICABLE,NEEDS_REVIEW,NOT_APPLICABLE,NOT_APPLICABLE,NO_SOURCE_FOUND,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,No recreational-hunting program established by this inventory
coverage:us-fl,jurisdiction:us-fl,source:us-fl-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ga,jurisdiction:us-ga,source:us-ga-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-hi,jurisdiction:us-hi,source:us-hi-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Island and public-area rules vary
coverage:us-id,jurisdiction:us-id,source:us-id-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-il,jurisdiction:us-il,source:us-il-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-in,jurisdiction:us-in,source:us-in-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ia,jurisdiction:us-ia,source:us-ia-hunting,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ks,jurisdiction:us-ks,source:us-ks-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ky,jurisdiction:us-ky,source:us-ky-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-la,jurisdiction:us-la,source:us-la-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-me,jurisdiction:us-me,source:us-me-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-md,jurisdiction:us-md,source:us-md-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ma,jurisdiction:us-ma,source:us-ma-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-mi,jurisdiction:us-mi,source:us-mi-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-mn,jurisdiction:us-mn,source:us-mn-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ms,jurisdiction:us-ms,source:us-ms-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-mo,jurisdiction:us-mo,source:us-mo-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-mt,jurisdiction:us-mt,source:us-mt-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Official GIS portal found; exact district layer unverified
coverage:us-ne,jurisdiction:us-ne,source:us-ne-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nv,jurisdiction:us-nv,source:us-nv-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nh,jurisdiction:us-nh,source:us-nh-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nj,jurisdiction:us-nj,source:us-nj-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nm,jurisdiction:us-nm,source:us-nm-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ny,jurisdiction:us-ny,source:us-ny-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nc,jurisdiction:us-nc,source:us-nc-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-nd,jurisdiction:us-nd,source:us-nd-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-oh,jurisdiction:us-oh,source:us-oh-hunting,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Annual operational summary still needed
coverage:us-ok,jurisdiction:us-ok,source:us-ok-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-or,jurisdiction:us-or,source:us-or-hunting,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-pa,jurisdiction:us-pa,source:us-pa-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-ri,jurisdiction:us-ri,source:us-ri-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-sc,jurisdiction:us-sc,source:us-sc-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-sd,jurisdiction:us-sd,source:us-sd-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-tn,jurisdiction:us-tn,source:us-tn-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-tx,jurisdiction:us-tx,source:us-tx-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,County-level rules require separate normalization
coverage:us-ut,jurisdiction:us-ut,source:us-ut-hunting,SOURCE_FOUND,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,SOURCE_FOUND,SOURCE_FOUND,2026-09-20,
coverage:us-vt,jurisdiction:us-vt,source:us-vt-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-va,jurisdiction:us-va,source:us-va-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-wa,jurisdiction:us-wa,source:us-wa-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,Official portal found; exact WDFW layer unverified
coverage:us-wv,jurisdiction:us-wv,source:us-wv-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-wi,jurisdiction:us-wi,source:us-wi-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_RESEARCH,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
coverage:us-wy,jurisdiction:us-wy,source:us-wy-hunting,SOURCE_FOUND,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,SOURCE_FOUND,OFFICIAL_INTERACTIVE_MAP_ONLY,NEEDS_REVIEW,SOURCE_FOUND,2026-09-20,
