jurisdiction_id,country_code,subdivision_code,name_en,name_fr,jurisdiction_type,parent_jurisdiction_id,primary_authority_id,official_management_term,coverage_status,notes
jurisdiction:us-la,US,LA,Louisiana,,STATE,jurisdiction:us-federal,authority:us-la-wlf,Area/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-me,US,ME,Maine,,STATE,jurisdiction:us-federal,authority:us-me-ifw,Wildlife Management District (WMD),IN_DEVELOPMENT,
jurisdiction:us-md,US,MD,Maryland,,STATE,jurisdiction:us-federal,authority:us-md-dnr,Region/County,IN_DEVELOPMENT,
jurisdiction:us-ma,US,MA,Massachusetts,,STATE,jurisdiction:us-federal,authority:us-ma-masswildlife,Wildlife Management Zone,IN_DEVELOPMENT,
jurisdiction:us-mi,US,MI,Michigan,,STATE,jurisdiction:us-federal,authority:us-mi-dnr,Deer Management Unit (DMU),IN_DEVELOPMENT,
jurisdiction:us-mn,US,MN,Minnesota,,STATE,jurisdiction:us-federal,authority:us-mn-dnr,Permit Area,IN_DEVELOPMENT,
jurisdiction:us-ms,US,MS,Mississippi,,STATE,jurisdiction:us-federal,authority:us-ms-mdwfp,Zone/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-mo,US,MO,Missouri,,STATE,jurisdiction:us-federal,authority:us-mo-mdc,County/Zone,IN_DEVELOPMENT,
jurisdiction:us-mt,US,MT,Montana,,STATE,jurisdiction:us-federal,authority:us-mt-fwp,Hunting District,IN_DEVELOPMENT,
jurisdiction:us-ne,US,NE,Nebraska,,STATE,jurisdiction:us-federal,authority:us-ne-ngpc,Unit,IN_DEVELOPMENT,
jurisdiction:us-nv,US,NV,Nevada,,STATE,jurisdiction:us-federal,authority:us-nv-ndow,Unit,IN_DEVELOPMENT,
jurisdiction:us-nh,US,NH,New Hampshire,,STATE,jurisdiction:us-federal,authority:us-nh-fg,Wildlife Management Unit (WMU),IN_DEVELOPMENT,
jurisdiction:us-nj,US,NJ,New Jersey,,STATE,jurisdiction:us-federal,authority:us-nj-fws,Deer/Turkey Management Zone,IN_DEVELOPMENT,
jurisdiction:us-nm,US,NM,New Mexico,,STATE,jurisdiction:us-federal,authority:us-nm-dgf,Game Management Unit (GMU),IN_DEVELOPMENT,
jurisdiction:us-ny,US,NY,New York,,STATE,jurisdiction:us-federal,authority:us-ny-dec,Wildlife Management Unit (WMU),IN_DEVELOPMENT,
jurisdiction:us-nc,US,NC,North Carolina,,STATE,jurisdiction:us-federal,authority:us-nc-wrc,Zone/Game Land,IN_DEVELOPMENT,
jurisdiction:us-nd,US,ND,North Dakota,,STATE,jurisdiction:us-federal,authority:us-nd-gf,Unit,IN_DEVELOPMENT,
jurisdiction:us-oh,US,OH,Ohio,,STATE,jurisdiction:us-federal,authority:us-oh-dow,County/Wildlife Area,IN_DEVELOPMENT,
jurisdiction:us-ok,US,OK,Oklahoma,,STATE,jurisdiction:us-federal,authority:us-ok-wd,Zone/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-or,US,OR,Oregon,,STATE,jurisdiction:us-federal,authority:us-or-odfw,Wildlife Management Unit,IN_DEVELOPMENT,
jurisdiction:us-pa,US,PA,Pennsylvania,,STATE,jurisdiction:us-federal,authority:us-pa-pgc,Wildlife Management Unit (WMU),IN_DEVELOPMENT,
jurisdiction:us-ri,US,RI,Rhode Island,,STATE,jurisdiction:us-federal,authority:us-ri-dem,Zone/Management Area,IN_DEVELOPMENT,
jurisdiction:us-sc,US,SC,South Carolina,,STATE,jurisdiction:us-federal,authority:us-sc-dnr,Game Zone/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-sd,US,SD,South Dakota,,STATE,jurisdiction:us-federal,authority:us-sd-gfp,Unit,IN_DEVELOPMENT,
jurisdiction:us-tn,US,TN,Tennessee,,STATE,jurisdiction:us-federal,authority:us-tn-twra,Unit/Zone/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-tx,US,TX,Texas,,STATE,jurisdiction:us-federal,authority:us-tx-tpwd,County/Zone/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-ut,US,UT,Utah,,STATE,jurisdiction:us-federal,authority:us-ut-dwr,Unit,IN_DEVELOPMENT,
jurisdiction:us-vt,US,VT,Vermont,,STATE,jurisdiction:us-federal,authority:us-vt-fw,Wildlife Management Unit (WMU),IN_DEVELOPMENT,
jurisdiction:us-va,US,VA,Virginia,,STATE,jurisdiction:us-federal,authority:us-va-dwr,County/Management Area,IN_DEVELOPMENT,
jurisdiction:us-wa,US,WA,Washington,,STATE,jurisdiction:us-federal,authority:us-wa-wdfw,Game Management Unit (GMU),IN_DEVELOPMENT,
jurisdiction:us-wv,US,WV,West Virginia,,STATE,jurisdiction:us-federal,authority:us-wv-dnr,County/Wildlife Management Area,IN_DEVELOPMENT,
jurisdiction:us-wi,US,WI,Wisconsin,,STATE,jurisdiction:us-federal,authority:us-wi-dnr,Deer Management Unit/Zone,IN_DEVELOPMENT,
jurisdiction:us-wy,US,WY,Wyoming,,STATE,jurisdiction:us-federal,authority:us-wy-wgfd,Hunt Area,IN_DEVELOPMENT,
