species_id,common_name_en,common_name_fr,scientific_name,genus,species,family,order,major_group,taxonomy_source_id,native_status_na,range_summary,verification_status,notes
species:snowshoe-hare,Snowshoe hare,Lièvre d'Amérique,Lepus americanus,Lepus,americanus,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Boreal and northern North America,SOURCE_FOUND,
species:arctic-hare,Arctic hare,Lièvre arctique,Lepus arcticus,Lepus,arcticus,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Arctic Canada and Greenland,SOURCE_FOUND,
species:white-tailed-jackrabbit,White-tailed jackrabbit,Lièvre de Townsend,Lepus townsendii,Lepus,townsendii,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Central and western North America,SOURCE_FOUND,
species:black-tailed-jackrabbit,Black-tailed jackrabbit,Lièvre de Californie,Lepus californicus,Lepus,californicus,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Western and central North America,SOURCE_FOUND,
species:eastern-cottontail,Eastern cottontail,Lapin à queue blanche,Sylvilagus floridanus,Sylvilagus,floridanus,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Eastern and central North America,SOURCE_FOUND,
species:mountain-cottontail,Mountain cottontail,Lapin de Nuttall,Sylvilagus nuttallii,Sylvilagus,nuttallii,Leporidae,Lagomorpha,species_group:hares-rabbits,source:itis-taxonomy,NATIVE,Western North America,SOURCE_FOUND,
species:eastern-gray-squirrel,Eastern gray squirrel,Écureuil gris,Sciurus carolinensis,Sciurus,carolinensis,Sciuridae,Rodentia,species_group:squirrels,source:itis-taxonomy,NATIVE,Eastern North America with introductions in west,SOURCE_FOUND,
species:fox-squirrel,Fox squirrel,Écureuil fauve,Sciurus niger,Sciurus,niger,Sciuridae,Rodentia,species_group:squirrels,source:itis-taxonomy,NATIVE,Central and eastern United States,SOURCE_FOUND,
species:mallard,Mallard,Canard colvert,Anas platyrhynchos,Anas,platyrhynchos,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,
species:american-black-duck,American black duck,Canard noir,Anas rubripes,Anas,rubripes,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,Eastern North America,SOURCE_FOUND,
species:wood-duck,Wood duck,Canard branchu,Aix sponsa,Aix,sponsa,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,
species:northern-pintail,Northern pintail,Canard pilet,Anas acuta,Anas,acuta,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America and circumpolar,SOURCE_FOUND,
species:green-winged-teal,Green-winged teal,Sarcelle d'hiver,Anas crecca,Anas,crecca,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America and Eurasia,SOURCE_FOUND,Taxonomic treatment of North American form carolinensis needs monitoring
species:blue-winged-teal,Blue-winged teal,Sarcelle à ailes bleues,Spatula discors,Spatula,discors,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Historic genus Anas
species:canvasback,Canvasback,Fuligule à dos blanc,Aythya valisineria,Aythya,valisineria,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,
species:ring-necked-duck,Ring-necked duck,Fuligule à collier,Aythya collaris,Aythya,collaris,Anatidae,Anseriformes,species_group:ducks,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,
species:canada-goose,Canada goose,Bernache du Canada,Branta canadensis,Branta,canadensis,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Do not conflate with cackling goose
species:cackling-goose,Cackling goose,Bernache de Hutchins,Branta hutchinsii,Branta,hutchinsii,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Formerly treated within Canada goose complex
species:snow-goose,Snow goose,Oie des neiges,Anser caerulescens,Anser,caerulescens,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Historic genus Chen
species:rosss-goose,Ross's goose,Oie de Ross,Anser rossii,Anser,rossii,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Historic genus Chen
species:greater-white-fronted-goose,Greater white-fronted goose,Oie rieuse,Anser albifrons,Anser,albifrons,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,North America and Eurasia,SOURCE_FOUND,
species:brant,Brant,Bernache cravant,Branta bernicla,Branta,bernicla,Anatidae,Anseriformes,species_group:geese,source:itis-taxonomy,NATIVE,Coastal North America and circumpolar,SOURCE_FOUND,
species:coyote,Coyote,Coyote,Canis latrans,Canis,latrans,Canidae,Carnivora,species_group:predators,source:itis-taxonomy,NATIVE,Most of North America,SOURCE_FOUND,Legal classification varies and may overlap furbearer rules
species:gray-wolf,Gray wolf,Loup gris,Canis lupus,Canis,lupus,Canidae,Carnivora,species_group:predators,source:itis-taxonomy,NATIVE,Canada Alaska and parts of contiguous United States,SOURCE_FOUND,Federal/state protection and population-specific rules are complex
species:bobcat,Bobcat,Lynx roux,Lynx rufus,Lynx,rufus,Felidae,Carnivora,species_group:predators,source:itis-taxonomy,NATIVE,North America,SOURCE_FOUND,Often regulated as furbearer; hunting versus trapping distinction required
