source_key,jurisdiction_id,authority_id,scope,title,url,format,legal_standing,licence_status,refresh_model,verification_status,reviewed_at
source:us-fl-hunting,jurisdiction:us-fl,authority:us-fl-fwc,STATE_OFFICIAL_HUB,Florida Hunting,https://myfwc.com/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ga-hunting,jurisdiction:us-ga,authority:us-ga-dnr,STATE_OFFICIAL_HUB,Georgia Hunting,https://georgiawildlife.com/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-hi-hunting,jurisdiction:us-hi,authority:us-hi-dofaw,STATE_OFFICIAL_HUB,Hawaii Hunting,https://dlnr.hawaii.gov/recreation/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-id-hunting,jurisdiction:us-id,authority:us-id-fg,STATE_OFFICIAL_HUB,Idaho Hunting,https://idfg.idaho.gov/hunt,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-il-hunting,jurisdiction:us-il,authority:us-il-dnr,STATE_OFFICIAL_HUB,Illinois Hunting,https://dnr.illinois.gov/hunting.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-in-hunting,jurisdiction:us-in,authority:us-in-dnr,STATE_OFFICIAL_HUB,Indiana Hunting and Trapping,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ia-hunting,jurisdiction:us-ia,authority:us-ia-dnr,STATE_OFFICIAL_HUB,Iowa Hunting Regulations and Laws,https://www.iowadnr.gov/things-do/hunting-trapping/hunting-regulations-laws,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-ks-hunting,jurisdiction:us-ks,authority:us-ks-kdwp,STATE_OFFICIAL_HUB,Kansas Hunting,https://ksoutdoors.com/Hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ky-hunting,jurisdiction:us-ky,authority:us-ky-dfw,STATE_OFFICIAL_HUB,Kentucky Hunting,https://fw.ky.gov/Hunt/Pages/default.aspx,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-la-hunting,jurisdiction:us-la,authority:us-la-wlf,STATE_OFFICIAL_HUB,Louisiana Hunting,https://www.wlf.louisiana.gov/page/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-me-hunting,jurisdiction:us-me,authority:us-me-ifw,STATE_OFFICIAL_HUB,Maine Hunting and Trapping,https://www.maine.gov/ifw/hunting-trapping/index.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-md-hunting,jurisdiction:us-md,authority:us-md-dnr,STATE_OFFICIAL_HUB,Maryland Hunting and Trapping,https://dnr.maryland.gov/wildlife/Pages/hunt_trap/home.aspx,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ma-hunting,jurisdiction:us-ma,authority:us-ma-masswildlife,STATE_OFFICIAL_HUB,Massachusetts Hunting Regulations,https://www.mass.gov/hunting-regulations,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-mi-hunting,jurisdiction:us-mi,authority:us-mi-dnr,STATE_OFFICIAL_HUB,Michigan Hunting,https://www.michigan.gov/dnr/things-to-do/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-mn-hunting,jurisdiction:us-mn,authority:us-mn-dnr,STATE_OFFICIAL_HUB,Minnesota Hunting,https://www.dnr.state.mn.us/hunting/index.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ms-hunting,jurisdiction:us-ms,authority:us-ms-mdwfp,STATE_OFFICIAL_HUB,Mississippi Wildlife and Hunting,https://www.mdwfp.com/wildlife-hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-mo-hunting,jurisdiction:us-mo,authority:us-mo-mdc,STATE_OFFICIAL_HUB,Missouri Hunting and Trapping,https://mdc.mo.gov/hunting-trapping,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-mt-hunting,jurisdiction:us-mt,authority:us-mt-fwp,STATE_OFFICIAL_HUB,Montana Hunt,https://fwp.mt.gov/hunt,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ne-hunting,jurisdiction:us-ne,authority:us-ne-ngpc,STATE_OFFICIAL_HUB,Nebraska Hunt,https://outdoornebraska.gov/hunt/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nv-hunting,jurisdiction:us-nv,authority:us-nv-ndow,STATE_OFFICIAL_HUB,Nevada Hunting,https://www.ndow.org/get-outside/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nh-hunting,jurisdiction:us-nh,authority:us-nh-fg,STATE_OFFICIAL_HUB,Hunting in New Hampshire,https://www.wildlife.nh.gov/hunting-nh,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nj-hunting,jurisdiction:us-nj,authority:us-nj-fws,STATE_OFFICIAL_HUB,New Jersey Hunting,https://dep.nj.gov/njfw/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nm-hunting,jurisdiction:us-nm,authority:us-nm-dgf,STATE_OFFICIAL_HUB,New Mexico Hunting,https://www.wildlife.state.nm.us/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ny-hunting,jurisdiction:us-ny,authority:us-ny-dec,STATE_OFFICIAL_HUB,New York Hunting,https://dec.ny.gov/things-to-do/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nc-hunting,jurisdiction:us-nc,authority:us-nc-wrc,STATE_OFFICIAL_HUB,North Carolina Hunting,https://www.ncwildlife.gov/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-nd-hunting,jurisdiction:us-nd,authority:us-nd-gf,STATE_OFFICIAL_HUB,North Dakota Hunting,https://gf.nd.gov/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-oh-hunting,jurisdiction:us-oh,authority:us-oh-dow,STATE_OFFICIAL_HUB,Ohio Administrative Code Chapter 1501:31 Wildlife,https://codes.ohio.gov/ohio-administrative-code/1501%3A31,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-ok-hunting,jurisdiction:us-ok,authority:us-ok-wd,STATE_OFFICIAL_HUB,Oklahoma Hunting,https://www.wildlifedepartment.com/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-or-hunting,jurisdiction:us-or,authority:us-or-odfw,STATE_OFFICIAL_HUB,Oregon Big Game Hunting Regulations 2026,https://myodfw.com/sites/default/files/2025-11/26_BG_regs.pdf,PDF,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-pa-hunting,jurisdiction:us-pa,authority:us-pa-pgc,STATE_OFFICIAL_HUB,Pennsylvania Hunting and Trapping,https://www.pa.gov/agencies/pgc/huntingandtrapping.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ri-hunting,jurisdiction:us-ri,authority:us-ri-dem,STATE_OFFICIAL_HUB,Rhode Island Hunting and Trapping,https://dem.ri.gov/natural-resources-bureau/fish-wildlife/hunting-trapping,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-sc-hunting,jurisdiction:us-sc,authority:us-sc-dnr,STATE_OFFICIAL_HUB,South Carolina Hunting,https://www.dnr.sc.gov/hunting.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-sd-hunting,jurisdiction:us-sd,authority:us-sd-gfp,STATE_OFFICIAL_HUB,South Dakota Hunt,https://gfp.sd.gov/hunt/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-tn-hunting,jurisdiction:us-tn,authority:us-tn-twra,STATE_OFFICIAL_HUB,Tennessee Hunting,https://www.tn.gov/twra/hunting.html,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-tx-hunting,jurisdiction:us-tx,authority:us-tx-tpwd,STATE_OFFICIAL_HUB,Texas Outdoor Annual Hunting,https://tpwd.texas.gov/regulations/outdoor-annual/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-ut-hunting,jurisdiction:us-ut,authority:us-ut-dwr,STATE_OFFICIAL_HUB,Utah Hunting and Fishing Guidebooks,https://wildlife.utah.gov/guidebooks,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,SOURCE_FOUND,2026-09-20
source:us-vt-hunting,jurisdiction:us-vt,authority:us-vt-fw,STATE_OFFICIAL_HUB,Vermont Hunt,https://www.vtfishandwildlife.com/hunt,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-va-hunting,jurisdiction:us-va,authority:us-va-dwr,STATE_OFFICIAL_HUB,Virginia Hunting,https://dwr.virginia.gov/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-wa-hunting,jurisdiction:us-wa,authority:us-wa-wdfw,STATE_OFFICIAL_HUB,Washington Hunting,https://wdfw.wa.gov/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-wv-hunting,jurisdiction:us-wv,authority:us-wv-dnr,STATE_OFFICIAL_HUB,West Virginia Hunting,https://wvdnr.gov/hunting/,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-wi-hunting,jurisdiction:us-wi,authority:us-wi-dnr,STATE_OFFICIAL_HUB,Wisconsin Hunting,https://dnr.wisconsin.gov/topic/hunt,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
source:us-wy-hunting,jurisdiction:us-wy,authority:us-wy-wgfd,STATE_OFFICIAL_HUB,Wyoming Hunting,https://wgfd.wyo.gov/hunting,HTML,Official discovery hub; controlling annual artifact not certified,UNRESOLVED,CURRENT_HUB_MONITOR_ANNUAL_CHILD_ARTIFACTS,DISCOVERED,2026-09-20
us-federal-migratory-framework,jurisdiction:us-federal,authority:us-fws,FEDERAL_COMPOSITION,Migratory-bird federal framework,https://www.fws.gov/law/migratory-bird-hunting-regulations,HTML,Federal framework; must be composed with state/tribal seasons,PUBLICATION_REUSE_REVIEW_REQUIRED,ANNUAL_AND_RULEMAKING,SOURCE_FOUND,2026-09-20
us-federal-refuge-station-rules,jurisdiction:us-federal,authority:us-fws,FEDERAL_LAND,National Wildlife Refuge station-specific hunting rules,https://www.fws.gov/federal-register-publication/national-wildlife-refuge-system-2026-2027-station-specific-hunting-0,HTML,Controlling federal rule for covered stations,PUBLICATION_REUSE_REVIEW_REQUIRED,ANNUAL_RULEMAKING,SOURCE_FOUND,2026-09-20
us-ak-gmu-maps,jurisdiction:us-ak,authority:us-ak-adfg,GIS_AND_HUNT_INDEX,Alaska hunting maps by GMU/species/hunt number,https://www.adfg.alaska.gov/index.cfm?adfg=huntingmaps.main,HTML/PDF/INTERACTIVE,Guidance; regulations and emergency orders control,UNRESOLVED,CONTINUOUS_PLUS_ANNUAL,SOURCE_FOUND,2026-09-20
us-co-big-game-2026,jurisdiction:us-co,authority:us-co-cpw,ANNUAL_REGULATION,2026 Colorado Big Game brochure,https://cpw.state.co.us/sites/default/files/dam/erjzbk48be/colorado-big-game-hunting-brochure.pdf,PDF,Current official brochure; corrections must be composed,PUBLICATION_REUSE_REVIEW_REQUIRED,ANNUAL_PLUS_CORRECTIONS,SOURCE_FOUND,2026-09-20
us-wy-regulations,jurisdiction:us-wy,authority:us-wy-wgfd,REGULATION_INDEX,Wyoming regulations and species hunt-area chapters,https://wgfd.wyo.gov/regulations,HTML/PDF,Written hunt-area descriptions control over reference maps,UNRESOLVED,ANNUAL_AND_RULEMAKING,SOURCE_FOUND,2026-09-20
us-mt-regulations,jurisdiction:us-mt,authority:us-mt-fwp,REGULATION_INDEX,Montana hunting regulations and adopted district descriptions,https://fwp.mt.gov/hunt/regulations,HTML/PDF,Commission-adopted legal descriptions and regulations control,UNRESOLVED,ANNUAL_AND_COMMISSION_ACTION,SOURCE_FOUND,2026-09-20
us-mt-hunt-planner,jurisdiction:us-mt,authority:us-mt-fwp,GIS_PLANNER,Montana FWP Hunt Planner,https://fwp.mt.gov/gis/maps/huntPlanner/,INTERACTIVE,Guidance only; regulations control,UNRESOLVED,CONTINUOUS,SOURCE_FOUND,2026-09-20
us-id-hunt-planner,jurisdiction:us-id,authority:us-id-fg,REGULATION_AND_GIS_PLANNER,Idaho Hunt Planner,https://idfg.idaho.gov/ifwis/huntplanner/,HTML/INTERACTIVE/DOWNLOADS,Planning tool; regulation booklets control boundaries,UNRESOLVED,ANNUAL_PLUS_CONTINUOUS,SOURCE_FOUND,2026-09-20
us-ut-guidebooks,jurisdiction:us-ut,authority:us-ut-dwr,REGULATION_INDEX,Utah hunting guidebooks and corrections,https://wildlife.utah.gov/guidebooks,HTML/PDF,Guidebooks summarize statutes/rules and publish corrections,PUBLICATION_REUSE_REVIEW_REQUIRED,VERSIONED_PLUS_CORRECTIONS,SOURCE_FOUND,2026-09-20
us-ut-boundaries,jurisdiction:us-ut,authority:us-ut-dwr,GIS_PLANNER,Utah hunt boundary maps,https://dwrapps.utah.gov/huntboundary/hbstart,INTERACTIVE,Boundary guidance; current descriptions/rules control,UNRESOLVED,CONTINUOUS,SOURCE_FOUND,2026-09-20
us-az-regulations,jurisdiction:us-az,authority:us-az-gfd,REGULATION_INDEX,Arizona hunting regulations and draw booklets,https://www.azgfd.com/hunting/regulations/,HTML/PDF,Official regulations/booklets; commission orders also required,PUBLICATION_REUSE_REVIEW_REQUIRED,ANNUAL_PLUS_ORDERS,SOURCE_FOUND,2026-09-20
us-nm-publications,jurisdiction:us-nm,authority:us-nm-dgf,REGULATION_INDEX,New Mexico current rules and information publications,https://wildlife.dgf.nm.gov/home/publications/,HTML/PDF,Official summary; cited statutes and administrative rules control,PUBLICATION_REUSE_REVIEW_REQUIRED,ANNUAL,SOURCE_FOUND,2026-09-20
us-nm-gmu,jurisdiction:us-nm,authority:us-nm-dgf,GIS_AND_DESCRIPTIONS,"New Mexico GMU maps, descriptions, shapefile and KMZ",https://wildlife.dgf.nm.gov/hunting/maps/big-game-unit-maps-pdfs/,HTML/PDF/SHP/KMZ,Statewide map disclaims precise-boundary use; descriptions control,UNRESOLVED,UNKNOWN_DOWNLOAD_DATED_2017,SOURCE_FOUND_STALE_DATA,2026-09-20
